unit_id,amplitude_cutoff,firing_range,firing_rate,isi_violations_ratio,rp_contamination,rp_violations,sd_ratio,snr,silhouette,mad_ratio,quality_label
105,0.048984837691754476,0.9,0.1797862919220634,0.0,0.0,0,23.25522837708441,20.879454,0.06390457247659703,13.001216,0.0
108,0.011074998830279029,2.0,0.47910617252744464,0.0,0.0,0,1.410420471531758,3.1021793,0.036355002437836244,1.1174312,1.0
109,0.003908801286902564,2.2,0.5247816088535905,0.0,0.0,0,1.2845030331266567,6.813845,0.09698008568982638,0.938257,1.0
110,0.013980632974954922,0.8,0.12973767552213764,0.0,0.0,0,1.2235376262545725,1.2764652,0.07883397606982886,1.0914346,0.0
113,0.21793072999039,2.5,0.6593783733465947,0.0,0.0,0,4.309399521639689,19.17803,0.20510811000263596,1.714912,0.0
116,0.014089561460691714,1.0,0.19096219655505653,0.0,0.0,0,1.4597731755795211,8.093123,0.06575639214943078,0.9676806,1.0
117,0.00020852743979807843,2.2,0.6030129412845424,0.0,0.0,0,1.013104225512365,21.399893,0.18094063299100144,0.47472426,1.0
120,0.013188306433392865,1.6,0.36054440163830015,0.0,0.0,0,2.322629349108549,9.200896,0.10055341608050526,1.630915,0.0
121,0.01836250708865786,1.8,0.4275998294362589,0.0,0.0,0,2.9614756524252956,10.730375,0.09370273676398341,1.5776377,1.0
122,0.0022272858167957633,1.6,0.3955298422285395,1.0353211459169689,1.0,1,0.960666293263331,13.460058,0.08153196934146274,0.5427529,1.0
126,0.010093889254664168,0.8,0.14868812250851732,0.0,0.0,0,2.9651089020238226,7.63415,0.09115811514221828,1.8166368,0.0
127,0.004162853752798833,2.0,0.440233460760512,0.0,0.0,0,4.481665716118671,3.0955021,0.05424894924557807,3.5713851,0.0
128,0.0016265545179350025,3.1,0.7536446993814063,0.2851676774327912,0.619872432331426,1,1.1586913104494188,2.959481,0.05000033948230304,1.1107664,0.0
130,0.0015258408886499298,1.6,0.3595725838441268,0.0,0.0,0,3.714980835772955,9.6984005,0.10676414885685943,2.7017372,0.0
135,0.0010059000339508154,1.4,0.33236168560727397,0.0,0.0,0,1.0720695668235523,25.600435,0.21023597624952664,0.44766814,1.0
140,0.0026016021365495444,1.6,0.3367348656810539,0.0,0.0,0,1.9164893184235785,15.6201935,0.17476717472285133,0.59567136,0.0
